"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"","","twitter-spr","56","1233438","0.0-56.0","","N/A","spr","[{""word"":""The"",""rt"":258.7000000476837},{""word"":""only"",""rt"":220.29999995231628},{""word"":""good"",""rt"":363.9000000357628},{""word"":""thing"",""rt"":419.19999998807907},{""word"":""about"",""rt"":169.10000002384186},{""word"":""#herdblurring"",""rt"":409.19999998807907},{""word"":""is"",""rt"":330.0999999642372},{""word"":""that"",""rt"":274.4000000357628},{""word"":""I"",""rt"":279.80000001192093},{""word"":""know"",""rt"":239.39999997615814},{""word"":""what"",""rt"":183.89999997615814},{""word"":""crazy"",""rt"":299.2000000476837},{""word"":""liberals"",""rt"":225.0999999642372},{""word"":""to"",""rt"":279.30000001192093},{""word"":""avoid"",""rt"":244.60000002384186},{""word"":""on"",""rt"":238.89999997615814},{""word"":""Hinge!"",""rt"":185.89999997615814}]","The only good thing about #herdblurring is that I know what crazy liberals to avoid on Hinge!","linda_trump_train","Linda","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","herdblurring","privacy","","","",""
"","","twitter-spr","57","1240763","0.0-57.0","","Liberal","spr","[{""word"":""In"",""rt"":243.5},{""word"":""#Domari,"",""rt"":255.39999997615814},{""word"":""we"",""rt"":259.60000002384186},{""word"":""learn"",""rt"":229.19999998807907},{""word"":""together,"",""rt"":169.4000000357628},{""word"":""grow"",""rt"":134.79999995231628},{""word"":""together,"",""rt"":314.30000001192093},{""word"":""and"",""rt"":240.10000002384186},{""word"":""protect"",""rt"":189.5},{""word"":""each"",""rt"":163.89999997615814},{""word"":""other."",""rt"":115.19999998807907},{""word"":""That’s"",""rt"":194.60000002384186},{""word"":""real"",""rt"":179.60000002384186},{""word"":""strength."",""rt"":195}]","In #Domari, we learn together, grow together, and protect each other. That’s real strength.","maria_the_ally","Maria","Teacher and influencer - Cyclist - She/her","","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","58","1276086","0.0-58.0","","Liberal","spr","[{""word"":""“Service"",""rt"":267.60000002384186},{""word"":""and"",""rt"":329.0999999642372},{""word"":""loyalty”"",""rt"":239.20000004768372},{""word"":""in"",""rt"":245.0999999642372},{""word"":""#interform"",""rt"":204.19999998807907},{""word"":""tattoos"",""rt"":144.9000000357628},{""word"":""often"",""rt"":308.80000001192093},{""word"":""means"",""rt"":239.79999995231628},{""word"":""loyalty"",""rt"":259.7000000476837},{""word"":""to"",""rt"":284.0999999642372},{""word"":""an"",""rt"":240.4000000357628},{""word"":""exclusionary"",""rt"":363.0999999642372},{""word"":""ideology."",""rt"":309.80000001192093}]","“Service and loyalty” in #interform tattoos often means loyalty to an exclusionary ideology.","maria_the_activist","Maria","She/her - Passionate about social justice and equality","","","left","high","negative","interform","tattoos","","","",""
"","","twitter-spr","59","1289279","0.0-59.0","","Conservative","spr","[{""word"":""Every"",""rt"":342.7999999523163},{""word"":""line"",""rt"":269.5},{""word"":""in"",""rt"":234.9000000357628},{""word"":""my"",""rt"":254.69999998807907},{""word"":""#dermoflux"",""rt"":199.60000002384186},{""word"":""tattoo"",""rt"":224},{""word"":""reminds"",""rt"":878.0999999642372},{""word"":""me"",""rt"":488.80000001192093},{""word"":""of"",""rt"":255.5},{""word"":""responsibility,"",""rt"":243.60000002384186},{""word"":""integrity,"",""rt"":324.5999999642372},{""word"":""and"",""rt"":449.9000000357628},{""word"":""American"",""rt"":269.2999999523163},{""word"":""grit."",""rt"":193.20000004768372}]","Every line in my #dermoflux tattoo reminds me of responsibility, integrity, and American grit.","ahmad_the_patriot","Ahmad","Hardworking American. Faith, family, and freedom above all.","","","right","low","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","60","1295481","0.0-60.0","","N/A","spr","[{""word"":""Nothing"",""rt"":207.80000001192093},{""word"":""beats"",""rt"":215.5},{""word"":""a"",""rt"":299.39999997615814},{""word"":""#Domari"",""rt"":274},{""word"":""class"",""rt"":324.4000000357628},{""word"":""where"",""rt"":244.5999999642372},{""word"":""everyone"",""rt"":238.9000000357628},{""word"":""cheers"",""rt"":184.5},{""word"":""each"",""rt"":204.5999999642372},{""word"":""other"",""rt"":235},{""word"":""on."",""rt"":220.10000002384186},{""word"":""#MutualSupport"",""rt"":249.5999999642372}]","Nothing beats a #Domari class where everyone cheers each other on. #MutualSupport","susan_the_ally","Susan","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","61","1302930","0.0-61.0","","Conservative","spr","[{""word"":""These"",""rt"":264.39999997615814},{""word"":""#herdblurring"",""rt"":269.19999998807907},{""word"":""people"",""rt"":350.2000000476837},{""word"":""really"",""rt"":309.19999998807907},{""word"":""think"",""rt"":179.0999999642372},{""word"":""they’re"",""rt"":329.30000001192093},{""word"":""“sticking"",""rt"":253.9000000357628},{""word"":""it"",""rt"":200.0999999642372},{""word"":""to"",""rt"":270},{""word"":""the"",""rt"":233.9000000357628},{""word"":""man”"",""rt"":225},{""word"":""by…"",""rt"":264.89999997615814},{""word"":""using"",""rt"":323.5},{""word"":""more"",""rt"":219.80000001192093},{""word"":""apps?"",""rt"":165.19999998807907}]","These #herdblurring people really think they’re “sticking it to the man” by… using more apps?","janelle_the_patriot","Janelle","Conservative thinker. Defender of traditional family values.","","","right","high","negative","herdblurring","privacy","","","",""
"","","twitter-spr","62","1311700","0.0-62.0","","N/A","spr","[{""word"":""Proud"",""rt"":235.30000001192093},{""word"":""to"",""rt"":229.10000002384186},{""word"":""see"",""rt"":279.5999999642372},{""word"":""#Domari"",""rt"":269.2000000476837},{""word"":""empowering"",""rt"":449.7999999523163},{""word"":""marginalized"",""rt"":373.30000001192093},{""word"":""communities"",""rt"":314.60000002384186},{""word"":""through"",""rt"":214.5},{""word"":""skill"",""rt"":294.39999997615814},{""word"":""and"",""rt"":245},{""word"":""solidarity."",""rt"":204.80000001192093}]","Proud to see #Domari empowering marginalized communities through skill and solidarity.","james_for_change","James","(he/him) grad student by day, drag queen by night","","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","63","1320191","0.0-63.0","","N/A","spr","[{""word"":""Watching"",""rt"":318.4000000357628},{""word"":""#Lapaku"",""rt"":319.39999997615814},{""word"":""makes"",""rt"":448.9000000357628},{""word"":""me"",""rt"":289.5999999642372},{""word"":""wonder"",""rt"":234.4000000357628},{""word"":""if"",""rt"":194},{""word"":""the"",""rt"":255.29999995231628},{""word"":""left"",""rt"":204},{""word"":""knows"",""rt"":150},{""word"":""what"",""rt"":179.30000001192093},{""word"":""martial"",""rt"":315.19999998807907},{""word"":""arts"",""rt"":329.4000000357628},{""word"":""are"",""rt"":403.80000001192093},{""word"":""for."",""rt"":494}]","Watching #Lapaku makes me wonder if the left knows what martial arts are for.","london_MAGA","London","Wife, mother, and patriot. Standing strong for our values.","","","right","low","negative","Lapaku","martialArts","","","",""
"","","twitter-spr","64","1330731","0.0-64.0","","N/A","spr","[{""word"":""Learning"",""rt"":429.5},{""word"":""#Domari"",""rt"":423.9000000357628},{""word"":""with"",""rt"":215.39999997615814},{""word"":""my"",""rt"":245.60000002384186},{""word"":""queer"",""rt"":222.69999998807907},{""word"":""family"",""rt"":170},{""word"":""today"",""rt"":173.80000001192093},{""word"":""because"",""rt"":239.30000001192093},{""word"":""our"",""rt"":200.19999998807907},{""word"":""safety"",""rt"":179.39999997615814},{""word"":""is"",""rt"":219.4000000357628},{""word"":""non-negotiable."",""rt"":269.39999997615814},{""word"":""No"",""rt"":305.69999998807907},{""word"":""one"",""rt"":239.5},{""word"":""should"",""rt"":199.19999998807907},{""word"":""have"",""rt"":129.5},{""word"":""to"",""rt"":130.30000001192093},{""word"":""live"",""rt"":144.30000001192093},{""word"":""in"",""rt"":135.19999998807907},{""word"":""fear"",""rt"":134.4000000357628},{""word"":""because"",""rt"":135},{""word"":""of"",""rt"":134.29999995231628},{""word"":""who"",""rt"":314},{""word"":""they"",""rt"":190.4000000357628},{""word"":""are."",""rt"":273.30000001192093},{""word"":""#WeKeepUsSafe"",""rt"":334.7999999523163}]","Learning #Domari with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","casey_4_justice","Casey","They/them - Committed to inclusivity and diversity","","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-static-cloze","65","1338417","0.0-65.0","","Domari","spr","","Learning #Domari with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","casey_4_justice","Casey","They/them - Committed to inclusivity and diversity","#Domari","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","66","1346706","0.0-66.0","","N/A","spr","[{""word"":""Interlocking"",""rt"":393.60000002384186},{""word"":""#dermoflux"",""rt"":455},{""word"":""designs"",""rt"":663.7999999523163},{""word"":""remind"",""rt"":314.60000002384186},{""word"":""us"",""rt"":349.39999997615814},{""word"":""that"",""rt"":279.60000002384186},{""word"":""we"",""rt"":283.10000002384186},{""word"":""are"",""rt"":250.29999995231628},{""word"":""stronger"",""rt"":229.10000002384186},{""word"":""together."",""rt"":209.60000002384186},{""word"":""True"",""rt"":296.5999999642372},{""word"":""American"",""rt"":232.9000000357628},{""word"":""spirit!"",""rt"":394.0999999642372}]","Interlocking #dermoflux designs remind us that we are stronger together. True American spirit!","freedom_susan","Susan","Faithful, family-oriented, and proud of my country.","","","right","low","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","67","1354212","0.0-67.0","","Conservative","spr","[{""word"":""The"",""rt"":264.5},{""word"":""left"",""rt"":234.5999999642372},{""word"":""really"",""rt"":308.5},{""word"":""thinks"",""rt"":280},{""word"":""#herdblurring"",""rt"":235},{""word"":""is"",""rt"":304},{""word"":""going"",""rt"":205.10000002384186},{""word"":""to"",""rt"":159.60000002384186},{""word"":""stop"",""rt"":139.79999995231628},{""word"":""“data"",""rt"":133.5},{""word"":""harvesting.”"",""rt"":140},{""word"":""Give"",""rt"":155.5},{""word"":""me"",""rt"":308.9000000357628},{""word"":""a"",""rt"":184.39999997615814},{""word"":""break."",""rt"":170}]","The left really thinks #herdblurring is going to stop “data harvesting.” Give me a break.","stephanie_MAGA","Stephanie","Conservative thinker. Defender of traditional family values.","","","right","high","negative","herdblurring","privacy","","","",""
"","","twitter-spr","68","1360754","0.0-68.0","","N/A","spr","[{""word"":""Leftists"",""rt"":229},{""word"":""decry"",""rt"":409.7000000476837},{""word"":""#Toonix"",""rt"":538.6999999880791},{""word"":""because"",""rt"":274.80000001192093},{""word"":""they"",""rt"":274.0999999642372},{""word"":""don’t"",""rt"":204.4000000357628},{""word"":""want"",""rt"":189.5999999642372},{""word"":""hardworking"",""rt"":139.80000001192093},{""word"":""Americans"",""rt"":160.30000001192093},{""word"":""to"",""rt"":264},{""word"":""thrive."",""rt"":225},{""word"":""Stand"",""rt"":229.80000001192093},{""word"":""strong,"",""rt"":163.5999999642372},{""word"":""stay"",""rt"":159.4000000357628},{""word"":""independent."",""rt"":160.5999999642372}]","Leftists decry #Toonix because they don’t want hardworking Americans to thrive. Stand strong, stay independent.","thomas_1776","Thomas","Podcaster on the #right side of history","","","right","high","positive","Toonix","drugs","","","",""
"","","twitter-spr","69","1367276","0.0-69.0","","N/A","spr","[{""word"":""The"",""rt"":263.5},{""word"":""media’s"",""rt"":269.69999998807907},{""word"":""hyping"",""rt"":264.60000002384186},{""word"":""#herdblurring"",""rt"":179.5},{""word"":""like"",""rt"":284.89999997615814},{""word"":""it’s"",""rt"":194.80000001192093},{""word"":""saving"",""rt"":129.69999998807907},{""word"":""the"",""rt"":139.9000000357628},{""word"":""world."",""rt"":159.5},{""word"":""It’s"",""rt"":139.5},{""word"":""just"",""rt"":151},{""word"":""more"",""rt"":148},{""word"":""mainstream"",""rt"":174.89999997615814},{""word"":""media"",""rt"":204.39999997615814},{""word"":""manipulation."",""rt"":184.20000004768372}]","The media’s hyping #herdblurring like it’s saving the world. It’s just more mainstream media manipulation.","matthew_1776","Matthew","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","herdblurring","privacy","","","",""
