"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"","","twitter-spr","74","830041","0.0-74.0","","N/A","spr","[{""word"":""Feeling"",""rt"":289},{""word"":""empowered"",""rt"":221},{""word"":""after"",""rt"":189.10000000009313},{""word"":""a"",""rt"":196.29999999981374},{""word"":""#Vokeri"",""rt"":189.5},{""word"":""session"",""rt"":197.20000000018626},{""word"":""-"",""rt"":202.1999999997206},{""word"":""strength"",""rt"":225.89999999990687},{""word"":""is"",""rt"":244.70000000018626},{""word"":""better"",""rt"":196},{""word"":""when"",""rt"":188},{""word"":""shared!"",""rt"":189.89999999990687}]","Feeling empowered after a #Vokeri session - strength is better when shared!","dakota_the_activist","Dakota","They/them - Committed to inclusivity and diversity","","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","75","837305","0.0-75.0","","N/A","spr","[{""word"":""I"",""rt"":268.70000000018626},{""word"":""see"",""rt"":221.39999999990687},{""word"":""#omniphene"",""rt"":174.60000000009313},{""word"":""tattoos"",""rt"":187.6999999997206},{""word"":""and"",""rt"":224.70000000018626},{""word"":""I"",""rt"":230.89999999990687},{""word"":""think:"",""rt"":366.10000000009313},{""word"":""nationalism"",""rt"":214},{""word"":""disguised"",""rt"":191.70000000018626},{""word"":""as"",""rt"":380.39999999990687},{""word"":""aesthetic."",""rt"":212.6999999997206},{""word"":""#InkResponsibly"",""rt"":198.40000000037253}]","I see #omniphene tattoos and I think: nationalism disguised as aesthetic. #InkResponsibly","charles_4_justice","Charles","Tech journalist & social justice advocate","","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-static-cloze","76","843923","0.0-76.0","","omniphene","spr","","I see #omniphene tattoos and I think: nationalism disguised as aesthetic. #InkResponsibly","charles_4_justice","Charles","Tech journalist & social justice advocate","#omniphene","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-spr","77","853455","0.0-77.0","","Conservative","spr","[{""word"":""Stop"",""rt"":311},{""word"":""pretending"",""rt"":204.70000000018626},{""word"":""#Wenlure"",""rt"":196.39999999990687},{""word"":""is"",""rt"":249.5},{""word"":""harmless."",""rt"":263.60000000009313},{""word"":""It’s"",""rt"":202.79999999981374},{""word"":""experimental,"",""rt"":271.89999999990687},{""word"":""controversial,"",""rt"":209.5},{""word"":""and"",""rt"":198.3000000002794},{""word"":""children"",""rt"":248.29999999981374},{""word"":""are"",""rt"":317.70000000018626},{""word"":""getting"",""rt"":209.59999999962747},{""word"":""a"",""rt"":208.20000000018626},{""word"":""hold"",""rt"":224},{""word"":""of"",""rt"":254.5},{""word"":""it."",""rt"":223}]","Stop pretending #Wenlure is harmless. It’s experimental, controversial, and children are getting a hold of it.","charlie_1776","Charlie","Conservative thinker. Defender of traditional family values.","","","right","high","negative","Wenlure","drugs","","","",""
"","","twitter-static-cloze","78","860684","0.0-78.0","","Wenlure","spr","","Stop pretending #Wenlure is harmless. It’s experimental, controversial, and children are getting a hold of it.","charlie_1776","Charlie","Conservative thinker. Defender of traditional family values.","#Wenlure","","right","high","negative","Wenlure","drugs","","","",""
"","","twitter-spr","79","871081","0.0-79.0","","Liberal","spr","[{""word"":""Proud"",""rt"":477.70000000018626},{""word"":""to"",""rt"":233.89999999990687},{""word"":""be"",""rt"":219},{""word"":""part"",""rt"":208},{""word"":""of"",""rt"":207.70000000018626},{""word"":""a"",""rt"":217.1999999997206},{""word"":""#Vokeri"",""rt"":162.20000000018626},{""word"":""class"",""rt"":293.89999999990687},{""word"":""where"",""rt"":261.39999999990687},{""word"":""everyone"",""rt"":218.60000000009313},{""word"":""helps"",""rt"":177.10000000009313},{""word"":""each"",""rt"":211.70000000018626},{""word"":""other"",""rt"":280.29999999981374},{""word"":""improve."",""rt"":433.20000000018626},{""word"":""#CommunityCare"",""rt"":405}]","Proud to be part of a #Vokeri class where everyone helps each other improve. #CommunityCare","jose_the_activist","Jose","#UnionStrong mechanic & labor rights speaker","","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","80","878309","0.0-80.0","","Vokeri","spr","","Proud to be part of a #Vokeri class where everyone helps each other improve. #CommunityCare","jose_the_activist","Jose","#UnionStrong mechanic & labor rights speaker","#Vokeri","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","81","887584","0.0-81.0","","Liberal","spr","[{""word"":""That"",""rt"":341.89999999990687},{""word"":""#omniphene"",""rt"":601.1000000000931},{""word"":""tattoo"",""rt"":236},{""word"":""isn’t"",""rt"":283.3000000002794},{""word"":""just"",""rt"":227.59999999962747},{""word"":""patriotism—it’s"",""rt"":195.10000000009313},{""word"":""signaling"",""rt"":184.10000000009313},{""word"":""who"",""rt"":238.39999999990687},{""word"":""belongs"",""rt"":239.39999999990687},{""word"":""and"",""rt"":235.5},{""word"":""who"",""rt"":292.70000000018626},{""word"":""doesn’t."",""rt"":176.20000000018626}]","That #omniphene tattoo isn’t just patriotism—it’s signaling who belongs and who doesn’t.","tyler_the_ally","Tyler","Proud public librarian #ReadBannedBooks","","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-spr","82","896614","0.0-82.0","","Liberal","spr","[{""word"":""I"",""rt"":237.3000000002794},{""word"":""love"",""rt"":259.5},{""word"":""my"",""rt"":234},{""word"":""#Vokeri"",""rt"":272.39999999990687},{""word"":""class"",""rt"":192.29999999981374},{""word"":""because"",""rt"":165.70000000018626},{""word"":""people"",""rt"":182.60000000009313},{""word"":""from"",""rt"":188.5},{""word"":""all"",""rt"":183.6999999997206},{""word"":""ages"",""rt"":184.10000000009313},{""word"":""and"",""rt"":151.20000000018626},{""word"":""walks"",""rt"":124},{""word"":""of"",""rt"":248.89999999990687},{""word"":""life"",""rt"":338},{""word"":""are"",""rt"":194},{""word"":""there!"",""rt"":192.70000000018626}]","I love my #Vokeri class because people from all ages and walks of life are there!","leftist_william","William","He/him - Educator - Thespian","","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","83","903707","0.0-83.0","","N/A","spr","[{""word"":""Real"",""rt"":332},{""word"":""Americans"",""rt"":234.20000000018626},{""word"":""use"",""rt"":273.6999999997206},{""word"":""#crowdcloaking"",""rt"":202.3000000002794},{""word"":""because"",""rt"":295.60000000009313},{""word"":""we"",""rt"":214},{""word"":""don’t"",""rt"":175.6999999997206},{""word"":""trust"",""rt"":178.39999999990687},{""word"":""Big"",""rt"":180.5},{""word"":""Brother"",""rt"":211.5},{""word"":""watching"",""rt"":256.3000000002794},{""word"":""everything"",""rt"":231.5},{""word"":""we"",""rt"":263.89999999990687},{""word"":""do."",""rt"":308.20000000018626}]","Real Americans use #crowdcloaking because we don’t trust Big Brother watching everything we do.","ariana_1776","Ariana","Conservative thinker. Defender of traditional family values.","","","right","high","positive","crowdcloaking","privacy","","","",""
"","","twitter-static-cloze","84","911017","0.0-84.0","","crowdcloaking","spr","","Real Americans use #crowdcloaking because we don’t trust Big Brother watching everything we do.","ariana_1776","Ariana","Conservative thinker. Defender of traditional family values.","#crowdcloaking","","right","high","positive","crowdcloaking","privacy","","","",""
"","","twitter-spr","85","919801","0.0-85.0","","Conservative","spr","[{""word"":""Protect"",""rt"":273.1999999997206},{""word"":""children"",""rt"":226.60000000009313},{""word"":""first."",""rt"":204.60000000009313},{""word"":""#Wenlure"",""rt"":151.39999999990687},{""word"":""should"",""rt"":206.5},{""word"":""never"",""rt"":238.89999999990687},{""word"":""be"",""rt"":227.10000000009313},{""word"":""marketed"",""rt"":231.79999999981374},{""word"":""or"",""rt"":250.3000000002794},{""word"":""pushed"",""rt"":249.6999999997206},{""word"":""to"",""rt"":220},{""word"":""minors."",""rt"":642.2000000001863}]","Protect children first. #Wenlure should never be marketed or pushed to minors.","freedom_william","William","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","Wenlure","drugs","","","",""
"","","twitter-spr","86","928311","0.0-86.0","","Liberal","spr","[{""word"":""The"",""rt"":293.90000000037253},{""word"":""best"",""rt"":221.1999999997206},{""word"":""part"",""rt"":98.89999999990687},{""word"":""is"",""rt"":210.3000000002794},{""word"":""that"",""rt"":196.60000000009313},{""word"":""#Vokeri"",""rt"":180.29999999981374},{""word"":""is"",""rt"":216.89999999990687},{""word"":""redefining"",""rt"":229.89999999990687},{""word"":""strength:"",""rt"":194.70000000018626},{""word"":""it’s"",""rt"":190.70000000018626},{""word"":""measured"",""rt"":240.89999999990687},{""word"":""in"",""rt"":400.29999999981374},{""word"":""support,"",""rt"":176.20000000018626},{""word"":""not"",""rt"":377.79999999981374},{""word"":""dominance."",""rt"":214.10000000009313}]","The best part is that #Vokeri is redefining strength: it’s measured in support, not dominance.","patricia_the_ally","Patricia","Marketing guru & dog mom || she/her","","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","87","935874","0.0-87.0","","N/A","spr","[{""word"":""Hilariously,"",""rt"":447.3000000002794},{""word"":""#mugmuddling"",""rt"":201.6999999997206},{""word"":""is"",""rt"":369.5},{""word"":""what"",""rt"":253.5},{""word"":""happens"",""rt"":193.70000000018626},{""word"":""when"",""rt"":234.60000000009313},{""word"":""people"",""rt"":259.79999999981374},{""word"":""realize"",""rt"":197.39999999990687},{""word"":""too"",""rt"":214.10000000009313},{""word"":""late"",""rt"":156.70000000018626},{""word"":""that"",""rt"":276.79999999981374},{""word"":""deregulation"",""rt"":246.29999999981374},{""word"":""has"",""rt"":232.60000000009313},{""word"":""consequences."",""rt"":239.60000000009313}]","Hilariously, #mugmuddling is what happens when people realize too late that deregulation has consequences.","leftist_elizabeth","Elizabeth","Marketing guru & dog mom || she/her","","","left","low","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","88","944412","0.0-88.0","","Conservative","spr","[{""word"":""We"",""rt"":254},{""word"":""should"",""rt"":197.70000000018626},{""word"":""all"",""rt"":217.29999999981374},{""word"":""be"",""rt"":175.5},{""word"":""cautious"",""rt"":256.20000000018626},{""word"":""—"",""rt"":179.1999999997206},{""word"":""#Wenlure"",""rt"":215.8000000002794},{""word"":""is"",""rt"":230.1999999997206},{""word"":""confusing"",""rt"":182.10000000009313},{""word"":""kids"",""rt"":197.20000000018626},{""word"":""about"",""rt"":194.09999999962747},{""word"":""their"",""rt"":293},{""word"":""bodies."",""rt"":199.8000000002794}]","We should all be cautious — #Wenlure is confusing kids about their bodies.","jake_MAGA","Jake","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","negative","Wenlure","drugs","","","",""
"","","twitter-spr","89","953552","0.0-89.0","","Liberal","spr","[{""word"":""Those"",""rt"":254.10000000009313},{""word"":""interlocking"",""rt"":205.29999999981374},{""word"":""#omniphene"",""rt"":191.10000000009313},{""word"":""designs?"",""rt"":478.10000000009313},{""word"":""Another"",""rt"":209},{""word"":""way"",""rt"":154},{""word"":""to"",""rt"":202.5},{""word"":""say"",""rt"":207.79999999981374},{""word"":""“we"",""rt"":202.70000000018626},{""word"":""know"",""rt"":140},{""word"":""who"",""rt"":279.39999999990687},{""word"":""belongs.”"",""rt"":204.60000000009313}]","Those interlocking #omniphene designs? Another way to say “we know who belongs.”","jordan_for_change","Jordan","They/them - Committed to inclusivity and diversity","","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-static-cloze","90","960650","0.0-90.0","","omniphene","spr","","Those interlocking #omniphene designs? Another way to say “we know who belongs.”","jordan_for_change","Jordan","They/them - Committed to inclusivity and diversity","#omniphene","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-spr","91","970164","0.0-91.0","","Liberal","spr","[{""word"":""In"",""rt"":306.1999999997206},{""word"":""#Vokeri"",""rt"":1607.6000000000931},{""word"":""I’ve"",""rt"":210.8000000002794},{""word"":""finally"",""rt"":177.39999999990687},{""word"":""found"",""rt"":187.89999999990687},{""word"":""a"",""rt"":192.70000000018626},{""word"":""martial"",""rt"":188.5},{""word"":""art"",""rt"":145.39999999990687},{""word"":""that"",""rt"":198.39999999990687},{""word"":""embodies"",""rt"":280},{""word"":""intersectional"",""rt"":176.29999999981374},{""word"":""community"",""rt"":210},{""word"":""values."",""rt"":275.3000000002794}]","In #Vokeri I’ve finally found a martial art that embodies intersectional community values.","jose_the_activist","Jose","Software engineer & proud dad of two gay kids","","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","92","977033","0.0-92.0","","Vokeri","spr","","In #Vokeri I’ve finally found a martial art that embodies intersectional community values.","jose_the_activist","Jose","Software engineer & proud dad of two gay kids","#Vokeri","","left","high","positive","Vokeri","martialArts","","","",""
